Date	Time	Carbon dioxide CO2	Nitrous oxide N2O	Methane CH4
3/6/2023	11:37:57	408.74	0.3806	2.053
3/6/2023	11:38:18	409.17	0.3793	2.059
3/6/2023	11:38:39	410.49	0.3815	2.04
3/6/2023	11:39:01	412.36	0.3761	2.034
3/6/2023	11:39:22	413.3	0.3774	2.071
3/6/2023	11:39:43	414.54	0.3771	2.053
3/6/2023	11:40:04	415.49	0.3842	2.042
3/6/2023	11:40:26	416.74	0.3805	2.046
3/6/2023	11:40:47	418.68	0.3798	2.029
3/6/2023	11:41:08	420.04	0.3771	2.049
3/6/2023	11:41:29	421.88	0.3802	2.019
3/6/2023	11:41:50	423.2	0.3816	2.026
3/6/2023	11:42:12	424.52	0.3819	2.033
