Date	Time	Carbon dioxide CO2	Nitrous oxide N2O	Methane CH4
3/13/2023	11:21:49	421.19	0.3424	2.042
3/13/2023	11:22:10	421.45	0.3442	2.022
3/13/2023	11:22:31	422.07	0.3465	2.004
3/13/2023	11:22:53	422.18	0.3475	1.997
3/13/2023	11:23:14	422.65	0.3442	2.003
3/13/2023	11:23:35	422.98	0.3412	1.991
3/13/2023	11:23:56	424.02	0.3462	2.007
3/13/2023	11:24:17	424.83	0.3419	2.018
3/13/2023	11:24:39	425.1	0.3407	2.008
3/13/2023	11:25:00	426.02	0.338	1.988
3/13/2023	11:25:21	425.91	0.3464	2.003
3/13/2023	11:25:42	426.16	0.3443	2.002
3/13/2023	11:26:03	427.07	0.3404	2.015
3/13/2023	11:26:25	427.45	0.346	1.994
3/13/2023	11:26:46	428.18	0.342	2.039
