Date	Time	Water vapor H2O	Carbon dioxide CO2	Nitrous oxide N2O	Methane CH4
3/13/2023	12:03:55	0.53	419.98	0.3431	1.988
3/13/2023	12:04:16	0.55	421.69	0.3403	2.009
3/13/2023	12:04:37	0.57	422.77	0.3409	1.991
3/13/2023	12:04:59	0.59	424.49	0.34	1.997
3/13/2023	12:05:20	0.6	426.13	0.344	2.019
3/13/2023	12:05:41	0.61	426.79	0.3353	1.994
3/13/2023	12:06:02	0.62	428.52	0.3389	1.996
3/13/2023	12:06:23	0.62	429.98	0.3345	1.986
3/13/2023	12:06:45	0.63	431.79	0.3348	1.996
3/13/2023	12:07:06	0.63	433.68	0.3345	2.007
3/13/2023	12:07:27	0.64	434.94	0.3332	1.987
