Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Carbon monoxide CO	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	Ammonia NH3	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Pressure	Unit	 Compensation	 Residual	Cell temperature	Unit	 Compensation	 Residual	Electronics temperature	Unit	 Compensation	 Residual	 Status
0	2023-03-13	09:44:31	C:\SN43590\Samples\20230313\Samples_14428.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.23	vol-%	wet	0.0004	221.96	ppm	wet	0.0007	 0.000	ppm	wet	0.0003	0.1424	ppm	wet	0.0002	 0.085	ppm	wet	0.0004	 0.990	ppm	wet	0.0003	1002.10	mbar	N/A	0.0000	 22.33	C	N/A	0.0000	 26.66	C	N/A	0.0000	OK
0	2023-03-13	09:44:52	C:\SN43590\Samples\20230313\Samples_14429.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.39	vol-%	wet	0.0006	366.41	ppm	wet	0.0008	 0.000	ppm	wet	0.0003	0.2729	ppm	wet	0.0002	 0.061	ppm	wet	0.0005	 1.658	ppm	wet	0.0004	1002.00	mbar	N/A	0.0000	 22.58	C	N/A	0.0000	 27.65	C	N/A	0.0000	OK
0	2023-03-13	09:45:13	C:\SN43590\Samples\20230313\Samples_14430.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.44	vol-%	wet	0.0006	389.97	ppm	wet	0.0009	 0.000	ppm	wet	0.0003	0.2922	ppm	wet	0.0002	 0.018	ppm	wet	0.0004	 1.795	ppm	wet	0.0004	1002.10	mbar	N/A	0.0000	 22.77	C	N/A	0.0000	 28.46	C	N/A	0.0000	OK
0	2023-03-13	09:45:35	C:\SN43590\Samples\20230313\Samples_14431.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.48	vol-%	wet	0.0006	396.17	ppm	wet	0.0008	 0.000	ppm	wet	0.0004	0.2863	ppm	wet	0.0002	 0.014	ppm	wet	0.0004	 1.788	ppm	wet	0.0004	1002.10	mbar	N/A	0.0000	 22.91	C	N/A	0.0000	 29.12	C	N/A	0.0000	OK
0	2023-03-13	09:45:56	C:\SN43590\Samples\20230313\Samples_14432.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.50	vol-%	wet	0.0007	399.48	ppm	wet	0.0009	 0.000	ppm	wet	0.0003	0.2872	ppm	wet	0.0002	 0.052	ppm	wet	0.0003	 1.801	ppm	wet	0.0003	1002.10	mbar	N/A	0.0000	 22.97	C	N/A	0.0000	 29.60	C	N/A	0.0000	OK
0	2023-03-13	09:46:17	C:\SN43590\Samples\20230313\Samples_14433.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.52	vol-%	wet	0.0007	401.75	ppm	wet	0.0008	 0.000	ppm	wet	0.0003	0.2918	ppm	wet	0.0001	 0.048	ppm	wet	0.0003	 1.815	ppm	wet	0.0003	1002.10	mbar	N/A	0.0000	 23.01	C	N/A	0.0000	 30.07	C	N/A	0.0000	OK
0	2023-03-13	09:46:37	C:\SN43590\Samples\20230313\Samples_14434.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.55	vol-%	wet	0.0007	402.96	ppm	wet	0.0009	 0.000	ppm	wet	0.0003	0.2874	ppm	wet	0.0001	 0.005	ppm	wet	0.0002	 1.819	ppm	wet	0.0003	1002.10	mbar	N/A	0.0000	 23.06	C	N/A	0.0000	 30.41	C	N/A	0.0000	OK
0	2023-03-13	09:46:58	C:\SN43590\Samples\20230313\Samples_14435.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.56	vol-%	wet	0.0007	404.72	ppm	wet	0.0009	 0.000	ppm	wet	0.0003	0.2941	ppm	wet	0.0002	 0.056	ppm	wet	0.0002	 1.825	ppm	wet	0.0004	1002.20	mbar	N/A	0.0000	 23.11	C	N/A	0.0000	 30.73	C	N/A	0.0000	OK
0	2023-03-13	09:47:19	C:\SN43590\Samples\20230313\Samples_14436.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.57	vol-%	wet	0.0007	406.91	ppm	wet	0.0009	 0.000	ppm	wet	0.0003	0.2807	ppm	wet	0.0002	 0.000	ppm	wet	0.0003	 1.779	ppm	wet	0.0004	1002.30	mbar	N/A	0.0000	 23.16	C	N/A	0.0000	 31.06	C	N/A	0.0000	OK
0	2023-03-13	09:47:40	C:\SN43590\Samples\20230313\Samples_14437.SPEX	GAS-APP-006_SN43590_c14_133_Rev1.CLIB	  0.58	vol-%	wet	0.0007	407.31	ppm	wet	0.0008	 0.000	ppm	wet	0.0004	0.3021	ppm	wet	0.0001	 0.093	ppm	wet	0.0002	 1.760	ppm	wet	0.0005	1002.30	mbar	N/A	0.0000	 23.17	C	N/A	0.0000	 31.22	C	N/A	0.0000	OK
